host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Bologna,44.4949,11.3426
c1,1Y5QRkhzARWsjpX6bCWXciUpGN8T2ze3WhG63W,company,m1,77.16,3,Torino,45.0703,7.6869
c2,161et7NmSyvnXFLeGZdKmT2B2Jrn6V4cLW2GqV,company,m1,99.26,4,Venezia,45.4408,12.3155
c3,1VCJ6Rs96dU42SWb4DKQhkbKrsWk3tVQttroWW,company,m2,92.76,5,Firenze,43.7696,11.2558
c4,12yyEfvNgL31dZBBgys5SGTLZJP9Z83G1ejqjj,company,m2,70.53,6,Perugia,43.1107,12.3908
c5,17SfcQCbjFcmL6cHPtoKWfroGQmqFYDvMcAe4h,company,m3,76.32,9,Palermo,38.1157,13.3615
ca,,ca,,,8,Bari,41.1171,16.8719
m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,miner,m1,26.46,0,HUB_NORD_Milano,45.4642,9.19
m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,miner,m2,24.17,1,HUB_CENTRO_Roma,41.9028,12.4964
m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,miner,m3,17.5,2,HUB_SUD_Napoli,40.8518,14.2681
