run_id,livello,tbt,height,epoca,categoria_evento,nodo_mittente,nodo_destinatario,importo,unita,note
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,c1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,c2,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,c3,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,c4,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,c5,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,m1,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,m2,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,m3,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,gas/init,admin,ca,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,m1,85.56,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,m2,26.46,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,m3,24.17,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,c1,17.5,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,c2,77.16,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,c3,99.26,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,c4,92.76,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,esg,ca,c5,70.53,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,m1,m1,,,auto-adesione del miner
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,c1,m1,,,adesione
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,m2,m2,,,auto-adesione del miner
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,c3,m2,,,adesione
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,c4,m2,,,adesione
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,c2,m1,,,adesione
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,m3,m3,,,auto-adesione del miner
run4-tbt-3s/intercontinentale,intercontinentale,3,85,8,membership,c5,m3,,,adesione
run4-tbt-3s/intercontinentale,intercontinentale,3,110,10,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,gas/reconcile,m1,treasury,45.2947,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,gas/reconcile,m3,treasury,9.5988,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,gas/reconcile,m2,treasury,28.7971,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,traffico,c4,stream applicativo,1,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,traffico,c3,stream applicativo,1,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,traffico,c1,stream applicativo,1,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,traffico,c5,stream applicativo,1,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,111,10,traffico,c2,stream applicativo,1,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,114,10,traffico,c1,stream applicativo,2,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,115,10,traffico,c2,stream applicativo,2,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,116,10,traffico,c3,stream applicativo,2,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,116,10,traffico,c1,stream applicativo,3,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,117,10,traffico,c4,stream applicativo,2,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,119,10,traffico,c2,stream applicativo,3,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,119,10,traffico,c1,stream applicativo,4,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,119,10,traffico,c5,stream applicativo,2,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,121,11,traffico,c3,stream applicativo,3,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,121,11,traffico,c1,stream applicativo,5,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,122,11,traffico,c2,stream applicativo,4,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,123,11,gas/reconcile,m1,treasury,97.8885,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,123,11,gas/reconcile,m2,treasury,11.4461,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,123,11,gas/reconcile,m3,treasury,7.6549,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,124,11,traffico,c4,stream applicativo,3,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,124,11,traffico,c1,stream applicativo,6,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,126,11,traffico,c3,stream applicativo,4,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,126,11,traffico,c2,stream applicativo,5,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,126,11,traffico,c1,stream applicativo,7,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,127,11,traffico,c5,stream applicativo,3,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,129,11,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,129,11,gas/refill,admin,m2,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,129,11,traffico,c1,stream applicativo,8,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,130,11,traffico,c4,stream applicativo,4,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,130,11,traffico,c2,stream applicativo,6,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,132,12,traffico,c3,stream applicativo,5,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,132,12,traffico,c1,stream applicativo,9,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,133,12,gas/reconcile,m1,treasury,99.8222,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,133,12,gas/reconcile,m3,treasury,6.14,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,133,12,gas/reconcile,m2,treasury,64.5058,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,134,12,traffico,c2,stream applicativo,7,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,134,12,traffico,c1,stream applicativo,10,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,135,12,traffico,c5,stream applicativo,4,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,136,12,traffico,c4,stream applicativo,5,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,136,12,traffico,c3,stream applicativo,6,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,136,12,traffico,c1,stream applicativo,11,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,138,12,traffico,c2,stream applicativo,8,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,139,12,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,139,12,traffico,c1,stream applicativo,12,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,142,12,traffico,c3,stream applicativo,7,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,142,12,traffico,c2,stream applicativo,9,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,142,12,traffico,c1,stream applicativo,13,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,143,12,traffico,c5,stream applicativo,5,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,143,12,traffico,c4,stream applicativo,6,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,144,13,traffico,c1,stream applicativo,14,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,145,13,gas/reconcile,m1,treasury,99.9007,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,145,13,gas/reconcile,m2,treasury,25.969,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,145,13,gas/reconcile,m3,treasury,4.9468,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,145,13,traffico,c2,stream applicativo,10,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,146,13,traffico,c3,stream applicativo,8,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,146,13,traffico,c1,stream applicativo,15,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,147,13,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,147,13,gas/refill,admin,m2,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,148,13,traffico,c4,stream applicativo,7,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,148,13,traffico,c2,stream applicativo,11,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,148,13,traffico,c1,stream applicativo,16,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,150,13,traffico,c5,stream applicativo,6,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,151,13,traffico,c3,stream applicativo,9,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,151,13,traffico,c1,stream applicativo,17,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,152,13,traffico,c2,stream applicativo,12,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,153,13,traffico,c1,stream applicativo,18,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,154,13,traffico,c4,stream applicativo,8,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,155,13,traffico,c3,stream applicativo,10,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,155,13,traffico,c2,stream applicativo,13,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,155,13,traffico,c1,stream applicativo,19,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,156,14,gas/refill,admin,m3,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run4-tbt-3s/intercontinentale,intercontinentale,3,157,14,gas/reconcile,m3,treasury,3.9663,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,157,14,traffico,c5,stream applicativo,7,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,157,14,traffico,c1,stream applicativo,20,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,158,14,traffico,c2,stream applicativo,14,seq,ok
run4-tbt-3s/intercontinentale,intercontinentale,3,160,14,gas/reconcile,m2,treasury,70.4026,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,160,14,gas/reconcile,m1,treasury,101.1094,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run4-tbt-3s/intercontinentale,intercontinentale,3,160,14,traffico,c4,stream applicativo,9,seq,ok
