host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Paris,48.8566,2.3522
c1,17hkibG1jwCnYcoHqegVXJYK56Qp9MuiibepCQ,company,m1,17.5,3,Zurich,47.3769,8.5417
c2,1LAyr99FkAc6rNx8EPyfMJnfdyq1yRZvLnzsaV,company,m1,77.16,4,Marseille,43.2965,5.3698
c3,1Sx4KDRxVxbKGMMAtLjERQ8XUJJmcCaR7XGoKW,company,m2,99.26,5,Amsterdam,52.3676,4.9041
c4,1a9oy7P2bVVwFWV6oZe2Xf33UNnvLQVQc8yERj,company,m2,92.76,6,Warszawa,52.2297,21.0122
c5,1XD1hpXTN6rBVW9uQD8sue46yKsy7BcPUxfApz,company,m3,70.53,9,Lisboa,38.7223,-9.1393
ca,,ca,,,8,London,51.5074,-0.1278
m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,miner,m1,85.56,0,HUB_IT_Milano,45.4642,9.19
m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,miner,m2,26.46,1,HUB_DE_Frankfurt,50.1109,8.6821
m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,miner,m3,24.17,2,HUB_ES_Madrid,40.4168,-3.7038
