host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Bologna,44.4949,11.3426
c1,15fYhE3iZ4bpB7ugDAYGojPMeX2Spatt4cYUa3,company,m1,17.5,3,Torino,45.0703,7.6869
c2,17qTRawo67UbxQwDkqqHxGDpdvyfvfQdxpNybm,company,m1,77.16,4,Venezia,45.4408,12.3155
c3,19CJJciQqbHBXRfwnZNpmfyWwq2CS5ExqyeWti,company,m2,99.26,5,Firenze,43.7696,11.2558
c4,1ZGQepCG9n73v7nznTU4z3FWSu2Y5ZaTSRPy6v,company,m2,92.76,6,Perugia,43.1107,12.3908
c5,1Sr73nub1pmsBWR9zQQ4Swj6AKw4syyoYts52e,company,m3,70.53,9,Palermo,38.1157,13.3615
ca,,ca,,,8,Bari,41.1171,16.8719
m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,miner,m1,85.56,0,HUB_NORD_Milano,45.4642,9.19
m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,miner,m2,26.46,1,HUB_CENTRO_Roma,41.9028,12.4964
m3,1PZ3gzLZ6RaKq1ZtUUs5657xvQwtwxQH2tMqJa,miner,m3,24.17,2,HUB_SUD_Napoli,40.8518,14.2681
