host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Paris,48.8566,2.3522
c1,1JYF2q1Sf8dBzUVspdhkifPGzhj1rwA12i1hPV,company,m1,17.5,3,Zurich,47.3769,8.5417
c2,1C7XjpQytFpcBVJyEs8Gf1TvTTZJgYsbySAgGE,company,m1,77.16,4,Marseille,43.2965,5.3698
c3,1FzwgcL8WrrmniBZoBvAR6MEp5DRgxqCGyjyx8,company,m2,99.26,5,Amsterdam,52.3676,4.9041
c4,1Cy3ajnDFY64KmZnhC5S4Nd1d59WrLjgpqjbiz,company,m2,92.76,6,Warszawa,52.2297,21.0122
c5,1HqvoZqwoGg5a7XkWWXUdSerMcrtk3RppCHmib,company,m3,70.53,9,Lisboa,38.7223,-9.1393
ca,,ca,,,8,London,51.5074,-0.1278
m1,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,miner,m1,85.56,0,HUB_IT_Milano,45.4642,9.19
m2,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,miner,m2,26.46,1,HUB_DE_Frankfurt,50.1109,8.6821
m3,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,miner,m3,24.17,2,HUB_ES_Madrid,40.4168,-3.7038
