host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Bologna,44.4949,11.3426
c1,1X5DjPHNjPb5F6m7k3sSLXoM1cXpWr757mFQFG,company,m1,17.5,3,Torino,45.0703,7.6869
c2,1KmFjetZA2woQhA18vwjLx8qSiP9fNPvWXAKcr,company,m1,77.16,4,Venezia,45.4408,12.3155
c3,16k5rJxPg62z85YQWPC6HSaKHB9RVrbTpG5ypu,company,m2,99.26,5,Firenze,43.7696,11.2558
c4,1Qbp4mhgC4y9cwQVVfC8HmUAzTqT86ASRHs5Ft,company,m2,92.76,6,Perugia,43.1107,12.3908
c5,1WiCTwLutLae23jdo7asD93kFXjyvok1eFZsFf,company,m3,70.53,9,Palermo,38.1157,13.3615
ca,,ca,,,8,Bari,41.1171,16.8719
m1,1VLpfZJuzKm3UcPtfYMsf5T37jtkxjR3ZhRF3w,miner,m1,85.56,0,HUB_NORD_Milano,45.4642,9.19
m2,1AagzGnptAGnvYUunCiqyFBo5P7Zyq7h7kcijs,miner,m2,26.46,1,HUB_CENTRO_Roma,41.9028,12.4964
m3,1CsyzTjErfmoC3PFDMJbGZZqJu6EUYCh2wKkBq,miner,m3,24.17,2,HUB_SUD_Napoli,40.8518,14.2681
