host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Paris,48.8566,2.3522
c1,16RydTKXXsUR61kpPBE8S4QxD46gnTB3dBTaQe,company,m1,17.5,3,Zurich,47.3769,8.5417
c2,1XHGrbw5eQ9EgENKxfkWxzjh2RDWeDJyPNtjd,company,m1,77.16,4,Marseille,43.2965,5.3698
c3,1AADf69te844jGdYX7n6E31fjpZmBEws73byeX,company,m2,99.26,5,Amsterdam,52.3676,4.9041
c4,1MHbe8Vg2VxJpoXZGRuCGnJwvi4WDg5YysTX68,company,m2,92.76,6,Warszawa,52.2297,21.0122
c5,1BqagTuLZeoyVzdcB4PHz6detDcMPT6KxXyAWL,company,m3,70.53,9,Toronto,43.6532,-79.3832
ca,,ca,,,8,London,51.5074,-0.1278
m1,1MR23ACVa8yHLyXnyiCzuh5NNcyYPcVjABvQX7,miner,m1,85.56,0,HUB_IT_Milano,45.4642,9.19
m2,1Snjm1ipv6bNrYBJg7akJXwLCy8JeNnkNx1L2x,miner,m2,26.46,1,HUB_DE_Frankfurt,50.1109,8.6821
m3,12FC8Zks2JqRt2BTkbvcKztQFVkCRaMjVC9Tu7,miner,m3,24.17,2,HUB_US_New_York,40.7128,-74.006
