host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Bologna,44.4949,11.3426
c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,company,m1,17.5,3,Torino,45.0703,7.6869
c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,company,m1,77.16,4,Venezia,45.4408,12.3155
c3,1NxMuHRzQZoNq73HEYjXVA5qpYJV4MZDtF25sq,company,m2,99.26,5,Firenze,43.7696,11.2558
c4,15MfkrDvfK6QQHJVoqzG9HgScKc8XrzWYXa7Sk,company,m2,92.76,6,Perugia,43.1107,12.3908
c5,1aVSyFhFdvV1dbdL22neKvqvCFxQX4rx68z1NL,company,m3,70.53,9,Palermo,38.1157,13.3615
ca,,ca,,,8,Bari,41.1171,16.8719
m1,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,miner,m1,85.56,0,HUB_NORD_Milano,45.4642,9.19
m2,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,miner,m2,26.46,1,HUB_CENTRO_Roma,41.9028,12.4964
m3,1VTJbaQB66KoiL8iWQrPES7Ub7ZDzy3XFu8DwG,miner,m3,24.17,2,HUB_SUD_Napoli,40.8518,14.2681
