host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Modena,44.6471,10.9252
c1,1QeD1MiyZASH93EjBcPYpb1VbdP8VK68jesBxL,company,m1,77.16,3,Pisa,43.7228,10.4017
c2,1Cw3SU7CSR9jNxKrsJvkRJxb1mCgAxQNkG5YD4,company,m1,99.26,4,Siena,43.3188,11.3308
c3,1QQoTiHA5ooKPefGXGPqnbp9s87fVqMgMKBchQ,company,m2,92.76,5,La_Spezia,44.1025,9.8241
c4,1Rt6yAwfP85GtvRLtVND1tX55evgB2m5FDvFRw,company,m2,70.53,6,Savona,44.309,8.4772
c5,12CAY81XqqGQ53QXsY3oR9oxw3YiaPjrKkdby9,company,m3,76.32,9,Ravenna,44.4184,12.2035
ca,,ca,,,8,Parma,44.8015,10.3279
m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,miner,m1,26.46,0,HUB_TOSCANA_Firenze,43.7696,11.2558
m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,miner,m2,24.17,1,HUB_LIGURIA_Genova,44.4056,8.9463
m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,miner,m3,17.5,2,HUB_EMILIAROMAGNA_Bologna,44.4949,11.3426
