host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Modena,44.6471,10.9252
c1,1C53cY45GLP1jCtGZ3jjRxK41xDpogMscxLoET,company,m1,17.5,3,Pisa,43.7228,10.4017
c2,1KwDQh1YXp8Gjcm5PUTzw4oojyETr76SR6K5g4,company,m1,77.16,4,Siena,43.3188,11.3308
c3,1akYxtSrcSsAR7FUMwZr2RAjBZeS9pefqhTGii,company,m2,99.26,5,La_Spezia,44.1025,9.8241
c4,1RNinnWHk18yFwNrDviXwK4oyJtZRTHU6YR4MW,company,m2,92.76,6,Savona,44.309,8.4772
c5,1HW1Y78Q8DyPU8YKdN6gzrGyAC2HS8qt346Gcd,company,m3,70.53,9,Ravenna,44.4184,12.2035
ca,,ca,,,8,Parma,44.8015,10.3279
m1,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,miner,m1,85.56,0,HUB_TOSCANA_Firenze,43.7696,11.2558
m2,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,miner,m2,26.46,1,HUB_LIGURIA_Genova,44.4056,8.9463
m3,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,miner,m3,24.17,2,HUB_EMILIAROMAGNA_Bologna,44.4949,11.3426
