host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Bologna,44.4949,11.3426
c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,company,m1,17.5,3,Torino,45.0703,7.6869
c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,company,m1,77.16,4,Venezia,45.4408,12.3155
c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,company,m2,99.26,5,Firenze,43.7696,11.2558
c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,company,m2,92.76,6,Perugia,43.1107,12.3908
c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,company,m3,70.53,9,Palermo,38.1157,13.3615
ca,,ca,,,8,Bari,41.1171,16.8719
m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,miner,m1,85.56,0,HUB_NORD_Milano,45.4642,9.19
m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,miner,m2,26.46,1,HUB_CENTRO_Roma,41.9028,12.4964
m3,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,miner,m3,24.17,2,HUB_SUD_Napoli,40.8518,14.2681
