host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Paris,48.8566,2.3522
c1,1D6PJV75UTxj8dgm531atGexacCGEWfyMmy77a,company,m1,77.16,3,Zurich,47.3769,8.5417
c2,15HZnWPZSNEEfD441Fp18f5CFLmHAebH9Etao8,company,m1,99.26,4,Marseille,43.2965,5.3698
c3,1Hi5s8Rww46YtnHuDvgJhomtaW9DDqgYPMbF5m,company,m2,92.76,5,Amsterdam,52.3676,4.9041
c4,1KLJEbmB4XPjt4kR62F7CTatfoBVmQuSJHsqA4,company,m2,70.53,6,Warszawa,52.2297,21.0122
c5,1Rdfp1jsXm439C5pmQy5Unm4Dgv7365vr4KK6U,company,m3,76.32,9,Lisboa,38.7223,-9.1393
ca,,ca,,,8,London,51.5074,-0.1278
m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,miner,m1,26.46,0,HUB_IT_Milano,45.4642,9.19
m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,miner,m2,24.17,1,HUB_DE_Frankfurt,50.1109,8.6821
m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,miner,m3,17.5,2,HUB_ES_Madrid,40.4168,-3.7038
