host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Modena,44.6471,10.9252
c1,1SQMyZsYBPsB6Z3JdtVvK5Z4nzaQ7kisunM2wk,company,m1,17.5,3,Pisa,43.7228,10.4017
c2,1A4CrFTvpKkWiGKyfcWKP3P5Ds6KMtYA11iE14,company,m1,77.16,4,Siena,43.3188,11.3308
c3,1b1ZDAStzMbTZrRLLYn6FkR3gJu28HRKRSfWAa,company,m2,99.26,5,La_Spezia,44.1025,9.8241
c4,1CyRAtgWZSyPLhC773ckjxce1q6dYoQKSyNrqt,company,m2,92.76,6,Savona,44.309,8.4772
c5,1XZvMfDDwwKtNGuGmjcDCiMPgHW9iyKB5AV7kN,company,m3,70.53,9,Ravenna,44.4184,12.2035
ca,,ca,,,8,Parma,44.8015,10.3279
m1,12zTjgCumTMomJBYYnuKAixmrhW7dXX12NKDwg,miner,m1,85.56,0,HUB_TOSCANA_Firenze,43.7696,11.2558
m2,1B6r6YPpfhSzpSvUo39JkyfYERxVrLyDC1ai7u,miner,m2,26.46,1,HUB_LIGURIA_Genova,44.4056,8.9463
m3,1CL4LiiNpuWSxPGYkh8WN8g7EnEjU4EK3kDWCA,miner,m3,24.17,2,HUB_EMILIAROMAGNA_Bologna,44.4949,11.3426
